Author,Year,Citations,Journal,
't Hooft,1999,208, Nuclear Physics B,
't Hooft,2000,239, Nuclear Physics B,
't Hooft,2001,271, Nuclear Physics B,
't Hooft,2002,306, Nuclear Physics B,
't Hooft,2003,332, Nuclear Physics B,
't Hooft,2004,360, Nuclear Physics B,
't Hooft,2005,388, Nuclear Physics B,
't Hooft,2006,426, Nuclear Physics B,
't Hooft,2007,456, Nuclear Physics B,
't Hooft,2008,501, Nuclear Physics B,
't Hooft,2009,537, Nuclear Physics B,
't Hooft,2010,564, Nuclear Physics B,
't Hooft,2011,585, Nuclear Physics B,
't Hooft,2012,605, Nuclear Physics B,
't Hooft,2013,645, Nuclear Physics B,
't Hooft,2014,675, Nuclear Physics B,
't Hooft,2015,692, Nuclear Physics B,
't Hooft,2016,721, Nuclear Physics B,
't Hooft,2017,741, Nuclear Physics B,
Marscher,1986,7, The Astrophysical Journal,
Marscher,1987,12, The Astrophysical Journal,
Marscher,1988,23, The Astrophysical Journal,
Marscher,1989,31, The Astrophysical Journal,
Marscher,1990,40, The Astrophysical Journal,
Marscher,1991,53, The Astrophysical Journal,
Marscher,1992,62, The Astrophysical Journal,
Marscher,1993,80, The Astrophysical Journal,
Marscher,1994,103, The Astrophysical Journal,
Marscher,1995,126, The Astrophysical Journal,
Marscher,1996,145, The Astrophysical Journal,
Marscher,1997,168, The Astrophysical Journal,
Marscher,1998,187, The Astrophysical Journal,
Marscher,1999,215, The Astrophysical Journal,
Marscher,2000,235, The Astrophysical Journal,
